year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2042,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2043,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2044,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2045,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2046,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2047,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2048,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2049,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2050,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2051,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2052,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2053,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2054,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2055,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2056,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2057,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2058,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2059,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2060,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2061,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2062,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2063,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2064,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2065,24.147727272727277,GS024,gas_network,gas_service,hybrid_gas
2020,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2021,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2022,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2023,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2024,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2025,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2026,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2027,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2028,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2029,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2030,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2031,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2032,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2033,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2034,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2035,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2036,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2037,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2038,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2039,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2040,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2041,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2042,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2043,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2044,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2045,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2046,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2047,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2048,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2049,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2050,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2051,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2052,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2053,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2054,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
